,_step,eval/loss,_runtime,eval/entropy,eval/num_tokens,train/epoch,eval/steps_per_second,eval/samples_per_second,eval/mean_token_accuracy,eval/runtime,_timestamp,train/global_step,train/entropy,train/mean_token_accuracy,train/num_tokens,train/loss,train/grad_norm,train/learning_rate
0,0,1.7811094522476196,21.676962864,1.3382776379585266,0.0,0.0,2.168,10.842,0.6346252858638763,0.9223,1764177439.9870024,0,,,,,,
1,1,,22.082298838,,,0.00684931506849315,,,,,1764177440.3926682,1,1.1934762001037598,0.6510369777679443,1113.0,1.6794,4.489251613616943,0.0
2,2,,22.385310582,,,0.0136986301369863,,,,,1764177440.6957006,2,1.3045300245285034,0.6185566782951355,2863.0,1.7647,3.126685857772827,6.666666666666667e-07
3,3,,22.742633854,,,0.02054794520547945,,,,,1764177441.0529494,3,1.4947818517684937,0.5895522236824036,4475.0,1.9048,3.1991727352142334,1.3333333333333334e-06
4,4,,23.10574336,,,0.0273972602739726,,,,,1764177441.41581,4,1.1729953289031982,0.6625766754150391,6109.0,1.6697,3.1214325428009033,2.0000000000000003e-06
5,5,,23.531646162,,,0.03424657534246575,,,,,1764177441.84199,5,1.6852331161499023,0.5599787831306458,7997.0,2.1248,3.019317626953125,2.666666666666667e-06
6,6,,23.941443779,,,0.0410958904109589,,,,,1764177442.251939,6,1.4001597166061401,0.6106906533241272,10115.0,1.7964,2.4186673164367676,3.3333333333333333e-06
7,7,,24.233781204,,,0.04794520547945205,,,,,1764177442.5441067,7,1.467377781867981,0.5741890668869019,11568.0,1.9254,3.529611110687256,4.000000000000001e-06
8,8,,24.55012274,,,0.0547945205479452,,,,,1764177442.8604462,8,1.3763458728790283,0.6239376664161682,12984.0,1.7233,2.977450132369995,4.666666666666667e-06
9,9,,24.840283403,,,0.06164383561643835,,,,,1764177443.1505547,9,1.5961718559265137,0.5656742453575134,14130.0,2.1182,3.8325936794281006,5.333333333333334e-06
10,10,,25.122937679,,,0.0684931506849315,,,,,1764177443.433317,10,1.2905291318893433,0.6669155955314636,15473.0,1.5712,3.0233407020568848,6e-06
11,11,,25.447565973,,,0.07534246575342465,,,,,1764177443.7579234,11,1.3853079080581665,0.6420187950134277,17181.0,1.6921,2.3783867359161377,6.666666666666667e-06
12,12,,25.740803998,,,0.0821917808219178,,,,,1764177444.051177,12,1.705389380455017,0.5582486391067505,18464.0,2.0302,2.7341835498809814,7.333333333333333e-06
13,13,,26.130556268,,,0.08904109589041095,,,,,1764177444.4409306,13,1.4287539720535278,0.6317747235298157,20350.0,1.679,1.948580265045166,8.000000000000001e-06
14,14,,26.454480211,,,0.0958904109589041,,,,,1764177444.7648787,14,1.5421637296676636,0.6059797406196594,22227.0,1.7794,1.8480103015899658,8.666666666666668e-06
15,15,,26.738313238,,,0.10273972602739725,,,,,1764177445.0486343,15,1.581725001335144,0.6014056205749512,23227.0,1.8765,2.802523136138916,9.333333333333334e-06
16,16,,27.040633792,,,0.1095890410958904,,,,,1764177445.3510118,16,1.5898936986923218,0.6115444898605347,24513.0,1.6341,1.9915517568588257,1e-05
17,17,,27.523947293,,,0.11643835616438356,,,,,1764177445.8343143,17,1.4323787689208984,0.6457334756851196,26603.0,1.6022,1.4341758489608765,9.998562273265786e-06
18,18,,27.865150471,,,0.1232876712328767,,,,,1764177446.1755123,18,1.4526245594024658,0.6571428775787354,28287.0,1.5149,1.54777991771698,9.994249919886402e-06
19,19,,28.233264442,,,0.13013698630136986,,,,,1764177446.5436418,19,1.5256109237670898,0.6231823563575745,30698.0,1.6759,1.3735243082046509,9.98706541985615e-06
20,20,,28.54119475,,,0.136986301369863,,,,,1764177446.8515046,20,1.6111668348312378,0.6181959509849548,31988.0,1.6853,1.7857130765914917,9.977012904914133e-06
21,21,,28.845734336,,,0.14383561643835616,,,,,1764177447.1560686,21,1.4799243211746216,0.6463932394981384,33406.0,1.5808,1.6984972953796387,9.964098156168143e-06
22,22,,29.1488103,,,0.1506849315068493,,,,,1764177447.4591959,22,1.630477786064148,0.619935154914856,34644.0,1.6366,1.8191250562667847,9.948328600769996e-06
23,23,,29.517271362,,,0.15753424657534246,,,,,1764177447.8276477,23,1.50278902053833,0.6545994281768799,36333.0,1.5352,1.4073364734649658,9.929713307644245e-06
24,24,,29.831541886,,,0.1643835616438356,,,,,1764177448.1418514,24,1.5310157537460327,0.644695520401001,37930.0,1.5574,1.518455147743225,9.908262982272724e-06
25,25,,30.121978209,,,0.17123287671232876,,,,,1764177448.432359,25,1.7191886901855469,0.6256061792373657,38965.0,1.7168,1.9857021570205688,9.883989960537934e-06
26,26,,30.430814848,,,0.1780821917808219,,,,,1764177448.7411523,26,1.8582547903060913,0.605008065700531,40207.0,1.8103,1.838149070739746,9.85690820162878e-06
27,27,,30.723941324,,,0.18493150684931506,,,,,1764177449.0343003,27,1.7914299964904785,0.6032093167304993,41582.0,1.7531,1.684024453163147,9.827033280012783e-06
28,28,,31.041836521,,,0.1917808219178082,,,,,1764177449.3521092,28,1.7703746557235718,0.6188734173774719,42953.0,1.764,1.6653656959533691,9.794382376479334e-06
29,29,,31.356074315,,,0.19863013698630136,,,,,1764177449.6664233,29,1.89436936378479,0.5915290713310242,44350.0,1.8916,1.631306767463684,9.7589742682592e-06
30,30,,31.75127333,,,0.2054794520547945,,,,,1764177450.0615816,30,1.6341572999954224,0.6310861706733704,45956.0,1.6451,1.491051197052002,9.720829318225897e-06
31,31,,32.04959313,,,0.21232876712328766,,,,,1764177450.3598828,31,1.5087612867355347,0.6596055626869202,47329.0,1.4747,1.5171445608139038,9.6799694631852e-06
32,32,,32.351041563,,,0.2191780821917808,,,,,1764177450.661058,32,1.5601156949996948,0.6485294103622437,48693.0,1.5634,1.573358178138733,9.63641820125949e-06
33,33,,32.644933089,,,0.22602739726027396,,,,,1764177450.955286,33,1.625847578048706,0.6260811686515808,50200.0,1.6103,1.4100847244262695,9.590200578374198e-06
34,34,,33.08211884,,,0.2328767123287671,,,,,1764177451.3925006,34,1.6586862802505493,0.6191446185112,52168.0,1.6832,1.2951908111572266,9.541343173854128e-06
35,35,,33.400461278,,,0.23972602739726026,,,,,1764177451.7107944,35,1.5256617069244385,0.6425532102584839,54052.0,1.5513,1.2943717241287231,9.48987408513794e-06
36,36,,33.784043803,,,0.2465753424657534,,,,,1764177452.0944028,36,1.6034959554672241,0.6531791687011719,55959.0,1.5163,1.2581040859222412,9.435822911619564e-06
37,37,,34.126234511,,,0.2534246575342466,,,,,1764177452.4366007,37,1.6195660829544067,0.6241135001182556,57373.0,1.6545,1.5217212438583374,9.379220737625877e-06
38,38,,34.689173532,,,0.2602739726027397,,,,,1764177452.9996002,38,1.3405481576919556,0.687111496925354,59790.0,1.3696,1.1096889972686768,9.320100114540382e-06
39,39,,35.161110793,,,0.2671232876712329,,,,,1764177453.4714925,39,1.6361138820648193,0.6265270709991455,62086.0,1.713,1.236708164215088,9.258495042083222e-06
40,40,,35.452087657,,,0.273972602739726,,,,,1764177453.7624238,40,1.792219638824463,0.594534695148468,63444.0,1.7474,1.612758755683899,9.19444094875825e-06
41,41,,35.755921042,,,0.2808219178082192,,,,,1764177454.0661912,41,1.6101832389831543,0.6462535858154297,64836.0,1.5077,1.4857834577560425,9.127974671478432e-06
42,42,,36.278691718,,,0.2876712328767123,,,,,1764177454.5889962,42,1.5245778560638428,0.6658867597579956,66977.0,1.4346,1.2051903009414673,9.059134434381274e-06
43,43,,36.606885524,,,0.2945205479452055,,,,,1764177454.9171386,43,1.7378841638565063,0.6098175048828125,68570.0,1.693,1.393611192703247,8.987959826846479e-06
44,44,,37.181395595,,,0.3013698630136986,,,,,1764177455.4918547,44,1.7695744037628174,0.597597599029541,70572.0,1.7485,1.3437517881393433,8.914491780728471e-06
45,45,,37.466267724,,,0.3082191780821918,,,,,1764177455.7766435,45,1.4407151937484741,0.672461748123169,72014.0,1.4067,1.4160678386688232,8.838772546816857e-06
46,46,,37.933361091,,,0.3150684931506849,,,,,1764177456.2438252,46,1.5906051397323608,0.6313740611076355,74587.0,1.5859,1.0679062604904175,8.760845670538387e-06
