,_step,eval/loss,_runtime,eval/entropy,eval/num_tokens,train/epoch,eval/steps_per_second,eval/samples_per_second,eval/mean_token_accuracy,eval/runtime,_timestamp,train/global_step,train/entropy,train/mean_token_accuracy,train/num_tokens,train/loss,train/grad_norm,train/learning_rate
0,0,1.932461142539978,760.661673477,1.5296040177345276,0.0,0.0,3.806,19.032,0.5657768547534943,0.5254,1764176724.9513588,0,,,,,,
1,1,,761.106737505,,,0.00411522633744856,,,,,1764176725.3967714,1,1.2835854291915894,0.6451379060745239,1382.0,1.7896,3.8410415649414062,0.0
2,2,,761.379786663,,,0.00823045267489712,,,,,1764176725.6698651,2,1.5976941585540771,0.5632973313331604,2405.0,2.0511,4.7449517250061035,8.000000000000001e-07
3,3,,761.69740171,,,0.012345679012345678,,,,,1764176725.9874504,3,1.3855549097061157,0.6063311696052551,3641.0,1.8409,4.319124221801758,1.6000000000000001e-06
4,4,,761.993910128,,,0.01646090534979424,,,,,1764176726.283887,4,1.640408992767334,0.5768421292304993,4595.0,2.2208,5.256519317626953,2.4000000000000003e-06
5,5,,762.298035964,,,0.0205761316872428,,,,,1764176726.5881135,5,1.3781896829605103,0.6042084097862244,5597.0,1.9002,5.067797660827637,3.2000000000000003e-06
6,6,,762.574490125,,,0.024691358024691357,,,,,1764176726.8644485,6,1.4781023263931274,0.5716767907142639,6752.0,2.0678,4.156728744506836,4.000000000000001e-06
7,7,,762.927403523,,,0.02880658436213992,,,,,1764176727.2173982,7,1.2579898834228516,0.6573161482810974,8075.0,1.6163,3.5759644508361816,4.800000000000001e-06
8,8,,763.213938983,,,0.03292181069958848,,,,,1764176727.5039816,8,1.5930925607681274,0.573182225227356,9138.0,2.0582,4.092611312866211,5.600000000000001e-06
9,9,,763.502657474,,,0.037037037037037035,,,,,1764176727.7926755,9,1.6066685914993286,0.5914068818092346,10329.0,1.9654,3.203091859817505,6.4000000000000006e-06
10,10,,763.805779509,,,0.0411522633744856,,,,,1764176728.095799,10,1.4167265892028809,0.63168865442276,11772.0,1.6862,2.6181323528289795,7.2000000000000005e-06
11,11,,764.132156353,,,0.04526748971193416,,,,,1764176728.4221148,11,1.4891568422317505,0.6156351566314697,13004.0,1.8095,2.8367297649383545,8.000000000000001e-06
12,12,,764.501547496,,,0.04938271604938271,,,,,1764176728.7915776,12,1.7070693969726562,0.5662472248077393,14359.0,2.0067,2.3170323371887207,8.8e-06
13,13,,764.788715256,,,0.053497942386831275,,,,,1764176729.0787556,13,1.3904552459716797,0.6206896305084229,15610.0,1.6765,2.5967679023742676,9.600000000000001e-06
14,14,,765.095640514,,,0.05761316872427984,,,,,1764176729.3856876,14,1.5722874402999878,0.6184324026107788,16775.0,1.797,2.44614315032959,1.04e-05
15,15,,765.420819567,,,0.06172839506172839,,,,,1764176729.7108414,15,1.546813726425171,0.6381015181541443,18296.0,1.6825,1.7348878383636475,1.1200000000000001e-05
16,16,,765.727493715,,,0.06584362139917696,,,,,1764176730.0175846,16,1.602659821510315,0.614652693271637,19351.0,1.7875,2.267893075942993,1.2e-05
17,17,,766.071928965,,,0.06995884773662552,,,,,1764176730.3619483,17,1.5543932914733887,0.6377649307250977,20912.0,1.6421,1.6875799894332886,1.2800000000000001e-05
18,18,,766.554074585,,,0.07407407407407407,,,,,1764176730.8439748,18,1.4238824844360352,0.6569238305091858,23003.0,1.5392,1.327797532081604,1.3600000000000002e-05
19,19,,766.838735284,,,0.07818930041152264,,,,,1764176731.1287441,19,1.4921860694885254,0.643856942653656,24293.0,1.5363,1.73264479637146,1.4400000000000001e-05
20,20,,767.131922979,,,0.0823045267489712,,,,,1764176731.4219527,20,1.7371195554733276,0.6156424283981323,25192.0,1.7534,2.3494415283203125,1.5200000000000002e-05
21,21,,767.570017391,,,0.08641975308641975,,,,,1764176731.8601158,21,1.6159415245056152,0.6319199204444885,26894.0,1.7038,1.550257682800293,1.6000000000000003e-05
22,22,,767.839458766,,,0.09053497942386832,,,,,1764176732.1293342,22,1.9584845304489136,0.5795454382896423,27778.0,1.9023,2.321848154067993,1.6800000000000002e-05
23,23,,768.121218872,,,0.09465020576131687,,,,,1764176732.4111435,23,1.7760415077209473,0.6223591566085815,28918.0,1.6856,1.9186055660247803,1.76e-05
24,24,,768.457714705,,,0.09876543209876543,,,,,1764176732.7477314,24,1.67058265209198,0.6488706469535828,30383.0,1.5974,1.5315806865692139,1.8400000000000003e-05
25,25,,768.924195802,,,0.102880658436214,,,,,1764176733.2142851,25,1.627982258796692,0.6238839030265808,32179.0,1.6448,1.4631567001342773,1.9200000000000003e-05
