,train/entropy,_step,train/mean_token_accuracy,train/num_tokens,_runtime,train/loss,train/grad_norm,train/learning_rate,train/epoch,_timestamp,train/global_step,eval/loss,eval/entropy,eval/num_tokens,eval/steps_per_second,eval/samples_per_second,eval/mean_token_accuracy,eval/runtime,eval/format_percentage
0,0.7395873963832855,0,0.553616726398468,58599.0,37.200414728,2.8851,6.879633903503418,7.2000000000000005e-06,0.04,1762795482.8341677,10,,,,,,,,
1,0.8344866156578064,1,0.5574697077274322,118041.0,44.887165869,2.6311,4.509828090667725,1.5200000000000002e-05,0.08,1762795490.5211387,20,,,,,,,,
2,1.1571058213710785,2,0.5606524825096131,177248.0,52.532546604,2.2915,1.8813248872756958,1.9984407641819812e-05,0.12,1762795498.1663938,30,,,,,,,,
3,1.5317139506340027,3,0.5680877506732941,235888.0,60.196750546,2.0454,1.2330461740493774,1.9809551553491918e-05,0.16,1762795505.8308198,40,,,,,,,,
4,1.711391305923462,4,0.5738743424415589,293987.0,67.780882763,1.9498,1.1760574579238892,1.944376370237481e-05,0.2,1762795513.4150035,50,,,,,,,,
5,1.559868323802948,5,0.5959113657474517,350830.0,75.331824636,1.8267,0.9643662571907043,1.889416373291298e-05,0.24,1762795520.9658804,60,,,,,,,,
6,1.5867757439613341,6,0.6035989344120025,410988.0,82.852788343,1.7508,0.8255478143692017,1.8171448983351284e-05,0.28,1762795528.486919,70,,,,,,,,
7,1.584049129486084,7,0.6089828073978424,469559.0,90.39912996,1.7078,0.8017376065254211,1.7289686274214116e-05,0.32,1762795536.033318,80,,,,,,,,
8,1.520073366165161,8,0.6156512081623078,532002.0,98.041573841,1.6394,0.879241406917572,1.6266038113644605e-05,0.36,1762795543.6756957,90,,,,,,,,
9,1.608118963241577,9,0.6052903711795807,589667.0,105.700978292,1.6931,0.7992811799049377,1.5120428648705716e-05,0.4,1762795551.3350103,100,,,,,,,,
10,1.560596239566803,10,0.6169580221176147,651828.0,113.406971419,1.6222,0.8164789080619812,1.3875155864521031e-05,0.44,1762795559.0411353,110,,,,,,,,
11,1.5406492948532104,11,0.6210430443286896,712902.0,121.31724509,1.6088,0.8479841947555542,1.2554457579357906e-05,0.48,1762795566.951097,120,,,,,,,,
12,1.5251148343086243,12,0.622448205947876,769899.0,128.87724572,1.5723,0.8453792333602905,1.1184039683065014e-05,0.52,1762795574.5112522,130,,,,,,,,
13,1.4722128510475159,13,0.6349131345748902,832817.0,136.614995322,1.5305,0.7858263254165649,9.790575801166432e-06,0.56,1762795582.2489393,140,,,,,,,,
14,1.5129175543785096,14,0.6281372725963592,892199.0,144.303247844,1.5301,0.7646801471710205,8.401188123081653e-06,0.6,1762795589.9374497,150,,,,,,,,
15,1.4804872512817382,15,0.6331928491592407,952786.0,153.637208945,1.5305,0.8612378239631653,7.042919499559538e-06,0.64,1762795599.2712173,160,,,,,,,,
16,1.4625739693641662,16,0.6361478209495545,1016881.0,161.308901262,1.5011,0.7301751971244812,5.742207084349274e-06,0.68,1762795606.942585,170,,,,,,,,
17,1.4958207249641418,17,0.6328810751438141,1076040.0,169.038373965,1.5172,0.8495132327079773,4.524367765074499e-06,0.72,1762795614.6724443,180,,,,,,,,
18,1.4679852604866028,18,0.6339974820613861,1136709.0,176.66320996,1.5061,0.8669075965881348,3.4131053988131947e-06,0.76,1762795622.2972991,190,,,,,,,,
19,1.4939694166183473,19,0.6261415302753448,1198300.0,184.290471256,1.5654,0.9673850536346436,2.4300494434824373e-06,0.8,1762795629.9244874,200,,,,,,,,
20,1.3965769290924073,20,0.6489206433296204,1257931.0,191.959107995,1.4286,0.7432191371917725,1.5943339650431578e-06,0.84,1762795637.5933332,210,,,,,,,,
21,1.4948611855506897,21,0.6324866950511933,1319562.0,199.488546925,1.5228,0.8032519221305847,9.222252146709143e-07,0.88,1762795645.1223726,220,,,,,,,,
22,1.4580943584442139,22,0.6376524090766906,1378068.0,207.179426177,1.5025,0.8343788385391235,4.268050246793276e-07,0.92,1762795652.8134558,230,,,,,,,,
23,1.5516918540000915,23,0.6195143282413482,1437427.0,214.7726628,1.586,0.8400161266326904,1.1771618553447217e-07,0.96,1762795660.4066472,240,,,,,,,,
24,1.507171595096588,24,0.6257580041885376,1495143.0,222.156800297,1.5554,0.7943365573883057,9.74759906957612e-10,1.0,1762795667.7907867,250,,,,,,,,
25,,25,,,226.288929241,,,,1.0,1762795671.9231448,250,1.5207666158676147,1.4753315632159894,1495143.0,3.891,29.933,0.6327412999593295,3.3407,
26,,26,,,436.670440283,,,,,1762795882.3047233,250,,,,,,,,0.0
27,,27,,,436.672846543,,,,1.0,1762795882.3072352,250,,,,,,,,
